lexeme	ambiguous	mode	model	score
포르투갈	0	weighted	w2v	39.2308
카자흐	0	weighted	w2v	38.9313
방송	0	weighted	w2v	38.6364
영혼	1	weighted	w2v	39.0977
숙청	0	weighted	w2v	38.806
관점	1	weighted	w2v	38.5185
프레임	0	weighted	w2v	38.2353
배출	0	weighted	w2v	38.6861
정품	0	weighted	w2v	38.4058
세르비아	0	weighted	w2v	38.1295
부탁	0	weighted	w2v	37.8571
알코올	0	weighted	w2v	37.5887
뮤지컬	0	weighted	w2v	38.0282
방	1	weighted	w2v	38.4615
복구	0	weighted	w2v	38.8889
우루과이	0	weighted	w2v	38.6207
나토	0	weighted	w2v	38.3562
필사	0	weighted	w2v	38.0952
저하	1	weighted	w2v	37.8378
초빙	0	weighted	w2v	38.255
수학	0	weighted	w2v	38.0
잔치	0	weighted	w2v	37.7483
파계	0	weighted	w2v	37.5
초콜릿	0	weighted	w2v	37.9085
시내	0	weighted	w2v	37.6623
실점	0	weighted	w2v	38.0645
위치	1	weighted	w2v	38.4615
아우터	0	weighted	w2v	38.2166
상	1	weighted	w2v	38.6076
야후	0	weighted	w2v	38.3648
추출	1	weighted	w2v	38.75
방면	0	weighted	w2v	38.5093
일간	0	weighted	w2v	38.8889
빙수	0	weighted	w2v	39.2638
요원	0	weighted	w2v	39.0244
신부	1	weighted	w2v	39.3939
출몰	0	weighted	w2v	39.759
강호	0	weighted	w2v	40.1198
차질	1	weighted	w2v	39.881
반도	0	weighted	w2v	39.645
군단	1	weighted	w2v	39.4118
덕분	0	weighted	w2v	39.1813
백제	0	weighted	w2v	39.5349
진상	0	weighted	w2v	39.3064
심경	0	weighted	w2v	39.0805
잉어	0	weighted	w2v	38.8571
통계	0	weighted	w2v	38.6364
중대	1	weighted	w2v	38.9831
구성	1	weighted	w2v	38.764
잡지	0	weighted	w2v	38.5475
패스	0	weighted	w2v	38.3333
선의	1	weighted	w2v	38.674
설치	1	weighted	w2v	38.4615
재경	0	weighted	w2v	38.2514
후속	0	weighted	w2v	38.587
환급	0	weighted	w2v	38.3784
자료	1	weighted	w2v	38.7097
상주	1	weighted	w2v	39.0374
사설	0	weighted	w2v	38.8298
결산	0	weighted	w2v	38.6243
수습	1	weighted	w2v	38.4211
훼손	1	weighted	w2v	38.7435
타인	0	weighted	w2v	39.0625
화분	0	weighted	w2v	38.8601
최종	0	weighted	w2v	39.1753
철분	0	weighted	w2v	38.9744
의술	0	weighted	w2v	38.7755
한족	0	weighted	w2v	39.0863
결방	0	weighted	w2v	39.3939
방어	1	weighted	w2v	39.196
코미디	0	weighted	w2v	39.0
잡스	0	weighted	w2v	39.3035
코	0	weighted	w2v	39.604
산실	0	weighted	w2v	39.4089
당내	0	weighted	w2v	39.2157
상실	0	weighted	w2v	39.0244
나비	0	weighted	w2v	38.835
대서	0	weighted	w2v	38.6473
입건	0	weighted	w2v	38.9423
서비스	1	weighted	w2v	39.2344
봉	0	weighted	w2v	39.5238
고수	1	weighted	w2v	39.3365
방미	0	weighted	w2v	39.6226
멘털	0	weighted	w2v	39.4366
열흘	0	weighted	w2v	39.2523
공조	1	weighted	w2v	39.0698
이중	0	weighted	w2v	38.8889
책자	0	weighted	w2v	39.1705
심화	1	weighted	w2v	39.4495
남미	0	weighted	w2v	39.726
단기	0	weighted	w2v	39.5455
환기	0	weighted	w2v	39.3665
근본	0	weighted	w2v	39.1892
공주	0	weighted	w2v	39.4619
속초	0	weighted	w2v	39.2857
승부	0	weighted	w2v	39.1111
소녀	0	weighted	w2v	39.3805
유능	0	weighted	w2v	39.207
평균	0	weighted	w2v	39.0351
가와사키	0	weighted	w2v	39.3013
흠	0	weighted	w2v	39.1304
국군	0	weighted	w2v	39.3939
진단	1	weighted	w2v	39.6552
난국	0	weighted	w2v	39.9142
코트	0	weighted	w2v	39.7436
취락	0	weighted	w2v	39.5745
대조	0	weighted	w2v	39.8305
치중	0	weighted	w2v	40.0844
달러	0	weighted	w2v	39.916
물자	0	weighted	w2v	39.749
형편	1	weighted	w2v	39.5833
명동	0	weighted	w2v	39.4191
사장	1	weighted	w2v	39.2562
수립	0	weighted	w2v	39.0947
입양	0	weighted	w2v	39.3443
노승	0	weighted	w2v	39.1837
심장	0	weighted	w2v	39.4309
상품	1	weighted	w2v	39.6761
경호	0	weighted	w2v	39.9194
양식	0	weighted	w2v	39.759
외신	0	weighted	w2v	40.0
팽배	0	weighted	w2v	40.239
엘리베이터	0	weighted	w2v	40.4762
유보	0	weighted	w2v	40.7115
다수	0	weighted	w2v	40.5512
납득	0	weighted	w2v	40.3922
회장	1	weighted	w2v	40.625
신형	0	weighted	w2v	40.4669
장점	0	weighted	w2v	40.6977
예전	1	weighted	w2v	40.9266
유토피아	0	weighted	w2v	40.7692
정밀	0	weighted	w2v	40.613
황해북도	0	weighted	w2v	40.8397
배려	0	weighted	w2v	41.0646
배추	0	weighted	w2v	41.2879
전수	1	weighted	w2v	41.1321
태산	0	weighted	w2v	40.9774
모험	0	weighted	w2v	40.824
원저	0	weighted	w2v	40.6716
파견	0	weighted	w2v	40.5204
안변	0	weighted	w2v	40.3704
농락	0	weighted	w2v	40.2214
편향	0	weighted	w2v	40.4412
사기	1	weighted	w2v	40.293
제재	1	weighted	w2v	40.5109
학점	0	weighted	w2v	40.3636
일조	1	weighted	w2v	40.5797
단일	0	weighted	w2v	40.4332
화제	1	weighted	w2v	40.6475
럭셔리	0	weighted	w2v	40.8602
소설	1	weighted	w2v	41.0714
입영	0	weighted	w2v	41.2811
사병	0	weighted	w2v	41.4894
계도	0	weighted	w2v	41.6961
궁핍	0	weighted	w2v	41.5493
중복	0	weighted	w2v	41.4035
지략	0	weighted	w2v	41.6084
괴롭힘	0	weighted	w2v	41.4634
조직	1	weighted	w2v	41.6667
학살	0	weighted	w2v	41.5225
예측	0	weighted	w2v	41.3793
객주	0	weighted	w2v	41.2371
약품	0	weighted	w2v	41.4384
반항	0	weighted	w2v	41.2969
칠기	0	weighted	w2v	41.1565
폭력	0	weighted	w2v	41.3559
억압	1	weighted	w2v	41.2162
잣	0	weighted	w2v	41.0774
곽	0	weighted	w2v	40.9396
장갑	0	weighted	w2v	41.1371
전국	1	weighted	w2v	41.0
주필	0	weighted	w2v	40.8638
정리	1	weighted	w2v	40.7285
현지	1	weighted	w2v	40.9241
옥	0	weighted	w2v	41.1184
암반	0	weighted	w2v	41.3115
파트너	0	weighted	w2v	41.1765
답방	0	weighted	w2v	41.0423
풍경	1	weighted	w2v	41.2338
토플	0	weighted	w2v	41.1003
탕진	0	weighted	w2v	40.9677
사방	0	weighted	w2v	41.1576
중구	1	weighted	w2v	41.3462
엄벌	0	weighted	w2v	41.5335
침해	0	weighted	w2v	41.7197
집행	1	weighted	w2v	41.9048
창고	0	weighted	w2v	41.7722
만해	0	weighted	w2v	41.6404
외상	0	weighted	w2v	41.5094
빚	0	weighted	w2v	41.3793
흡수	1	weighted	w2v	41.5625
파	0	weighted	w2v	41.433
최저	0	weighted	w2v	41.3043
건수	0	weighted	w2v	41.4861
집계	0	weighted	w2v	41.6667
예년	0	weighted	w2v	41.5385
공평	0	weighted	w2v	41.411
김포	0	weighted	w2v	41.2844
소관	0	weighted	w2v	41.4634
조서	0	weighted	w2v	41.3374
충전	1	weighted	w2v	41.5152
대행	1	weighted	w2v	41.6918
동족	0	weighted	w2v	41.5663
임상	0	weighted	w2v	41.4414
상공	0	weighted	w2v	41.3174
확보	1	weighted	w2v	41.4925
반면	0	weighted	w2v	41.6667
목적	1	weighted	w2v	41.543
대첩	0	weighted	w2v	41.4201
방해	0	weighted	w2v	41.5929
모래	0	weighted	w2v	41.4706
안위	0	weighted	w2v	41.349
위인	0	weighted	w2v	41.2281
적	1	weighted	w2v	41.3994
존재	1	weighted	w2v	41.2791
소식	1	weighted	w2v	41.1594
전용	1	weighted	w2v	41.0405
혐의	1	weighted	w2v	41.2104
연비	0	weighted	w2v	41.092
바나나	0	weighted	w2v	40.9742
사법	0	weighted	w2v	41.1429
전황	0	weighted	w2v	41.3105
이력	0	weighted	w2v	41.4773
에이피	0	weighted	w2v	41.6431
강북	0	weighted	w2v	41.8079
열망	0	weighted	w2v	41.9718
업체	1	weighted	w2v	42.1348
용납	0	weighted	w2v	42.2969
생애	0	weighted	w2v	42.4581
상하이	0	weighted	w2v	42.3398
징계	1	weighted	w2v	42.2222
전보	0	weighted	w2v	42.1053
세미나	0	weighted	w2v	41.989
울타리	0	weighted	w2v	42.1488
음지	0	weighted	w2v	42.033
피곤	0	weighted	w2v	41.9178
종목	1	weighted	w2v	41.8033
닉슨	0	weighted	w2v	41.6894
가자	0	weighted	w2v	41.5761
비디오	0	weighted	w2v	41.4634
사측	0	weighted	w2v	41.3514
기술	1	weighted	w2v	41.5094
생사	0	weighted	w2v	41.3978
열람	0	weighted	w2v	41.555
혼례	0	weighted	w2v	41.4439
야인	0	weighted	w2v	41.6
일생	0	weighted	w2v	41.4894
성격	1	weighted	w2v	41.6446
안전	0	weighted	w2v	41.7989
경주	0	weighted	w2v	41.9525
요소	1	weighted	w2v	41.8421
조련	0	weighted	w2v	41.7323
매춘	0	weighted	w2v	41.623
구석	0	weighted	w2v	41.5144
양질	0	weighted	w2v	41.4062
가보	0	weighted	w2v	41.2987
노제	0	weighted	w2v	41.1917
출판	0	weighted	w2v	41.0853
언급	0	weighted	w2v	40.9794
복장	0	weighted	w2v	41.1311
포함	1	weighted	w2v	41.2821
마이애미	0	weighted	w2v	41.1765
기분	1	weighted	w2v	41.3265
적자	1	weighted	w2v	41.4758
존폐	0	weighted	w2v	41.3706
여진	0	weighted	w2v	41.2658
반대	1	weighted	w2v	41.4141
진품	0	weighted	w2v	41.3098
개명	0	weighted	w2v	41.206
예정	0	weighted	w2v	41.1028
친구	1	weighted	w2v	41.0
부모	0	weighted	w2v	40.8978
욕설	0	weighted	w2v	41.0448
역전	1	weighted	w2v	40.9429
퍼트	0	weighted	w2v	40.8416
광산	0	weighted	w2v	40.9877
빈혈	0	weighted	w2v	41.133
구역	1	weighted	w2v	41.2776
여름	0	weighted	w2v	41.4216
후학	0	weighted	w2v	41.3203
기력	0	weighted	w2v	41.2195
정보	1	weighted	w2v	41.3625
주권	0	weighted	w2v	41.2621
시신	0	weighted	w2v	41.1622
양상	0	weighted	w2v	41.0628
이사	1	weighted	w2v	40.9639
빅딜	0	weighted	w2v	41.1058
분포	0	weighted	w2v	41.0072
모친	0	weighted	w2v	40.9091
회신	0	weighted	w2v	41.0501
묵	0	weighted	w2v	40.9524
품격	0	weighted	w2v	40.8551
임용	1	weighted	w2v	40.9953
품종	1	weighted	w2v	41.1348
오답	0	weighted	w2v	41.0377
여가	0	weighted	w2v	41.1765
게시	0	weighted	w2v	41.0798
초등	0	weighted	w2v	40.9836
세배	0	weighted	w2v	40.8879
선물	0	weighted	w2v	40.7925
상징	0	weighted	w2v	40.6977
총재	1	weighted	w2v	40.6032
노원	0	weighted	w2v	40.5093
침체	0	weighted	w2v	40.6467
사죄	1	weighted	w2v	40.553
해적	0	weighted	w2v	40.6897
종양	0	weighted	w2v	40.5963
관제	0	weighted	w2v	40.5034
지구	1	weighted	w2v	40.6393
살림	0	weighted	w2v	40.7745
농협	0	weighted	w2v	40.6818
걸음	1	weighted	w2v	40.8163
아프간	0	weighted	w2v	40.9502
구실	0	weighted	w2v	41.0835
왕족	0	weighted	w2v	40.991
품질	0	weighted	w2v	41.1236
정치	1	weighted	w2v	41.0314
내전	0	weighted	w2v	41.1633
고분	0	weighted	w2v	41.2946
출원	1	weighted	w2v	41.4254
매사	0	weighted	w2v	41.5556
답변	0	weighted	w2v	41.6851
공기	1	weighted	w2v	41.8142
유착	0	weighted	w2v	41.7219
보존	0	weighted	w2v	41.63
알카에다	0	weighted	w2v	41.7582
접수	0	weighted	w2v	41.6667
스코어	0	weighted	w2v	41.5755
급여	1	weighted	w2v	41.4847
율곡	0	weighted	w2v	41.6122
오마주	0	weighted	w2v	41.5217
숙식	0	weighted	w2v	41.6486
유예	1	weighted	w2v	41.7749
수리	1	weighted	w2v	41.6847
프레슬리	0	weighted	w2v	41.5948
특채	0	weighted	w2v	41.5054
중순	0	weighted	w2v	41.6309
지오피	0	weighted	w2v	41.5418
패권	0	weighted	w2v	41.453
가름	0	weighted	w2v	41.3646
브루나이	0	weighted	w2v	41.2766
시리아	0	weighted	w2v	41.189
보	0	weighted	w2v	41.3136
해태	0	weighted	w2v	41.2262
단위	1	weighted	w2v	41.3502
사의	1	weighted	w2v	41.2632
평창	0	weighted	w2v	41.3866
공수	0	weighted	w2v	41.2998
독성	1	weighted	w2v	41.2134
박스	0	weighted	w2v	41.3361
필자	0	weighted	w2v	41.25
브리핑	0	weighted	w2v	41.3721
육체	0	weighted	w2v	41.2863
생각	1	weighted	w2v	41.4079
투타	0	weighted	w2v	41.3223
승격	0	weighted	w2v	41.2371
경매	0	weighted	w2v	41.358
발견	0	weighted	w2v	41.4784
홍수	0	weighted	w2v	41.5984
홈런	0	weighted	w2v	41.7178
안건	0	weighted	w2v	41.6327
상영	0	weighted	w2v	41.7515
발행	1	weighted	w2v	41.8699
복용	1	weighted	w2v	41.785
확인	1	weighted	w2v	41.9028
창조	0	weighted	w2v	42.0202
방향	1	weighted	w2v	42.1371
출품	0	weighted	w2v	42.2535
환원	0	weighted	w2v	42.3695
악셀	0	weighted	w2v	42.2846
유포	0	weighted	w2v	42.2
당근	0	weighted	w2v	42.1158
국토	0	weighted	w2v	42.0319
온도	0	weighted	w2v	41.9483
국민	1	weighted	w2v	42.0635
배포	0	weighted	w2v	42.1782
질	1	weighted	w2v	42.2925
엄마	1	weighted	w2v	42.2091
농성	0	weighted	w2v	42.126
역투	0	weighted	w2v	42.0432
쓰나미	0	weighted	w2v	41.9608
더미	0	weighted	w2v	41.8787
평일	0	weighted	w2v	41.9922
이외	0	weighted	w2v	41.9103
이식	1	weighted	w2v	42.0233
박차	0	weighted	w2v	42.1359
명곡	0	weighted	w2v	42.0543
후임	0	weighted	w2v	41.9729
명칭	0	weighted	w2v	42.0849
가락	0	weighted	w2v	42.0039
협력	0	weighted	w2v	41.9231
댐	0	weighted	w2v	42.0345
렌더링	0	weighted	w2v	41.954
가난	0	weighted	w2v	42.065
피의	0	weighted	w2v	41.9847
벽면	0	weighted	w2v	42.0952
한파	0	weighted	w2v	42.0152
친필	0	weighted	w2v	41.9355
새벽	0	weighted	w2v	41.8561
커뮤니케이션	0	weighted	w2v	41.7769
하천	0	weighted	w2v	41.8868
내성	0	weighted	w2v	41.9962
외모	0	weighted	w2v	42.1053
시청	1	weighted	w2v	42.2139
이첩	0	weighted	w2v	42.1348
노장	1	weighted	w2v	42.243
심정	0	weighted	w2v	42.1642
후배	1	weighted	w2v	42.0857
구도	0	weighted	w2v	42.1933
역지사지	0	weighted	w2v	42.3006
주석단	0	weighted	w2v	42.2222
아쉬움	0	weighted	w2v	42.1442
서식	0	weighted	w2v	42.0664
디스카운트	0	weighted	w2v	42.1731
상황	1	weighted	w2v	42.2794
쌀	0	weighted	w2v	42.2018
점철	0	weighted	w2v	42.3077
사즉생	0	weighted	w2v	42.4132
총기	0	weighted	w2v	42.3358
부하	1	weighted	w2v	42.4408
장식	0	weighted	w2v	42.3636
마피아	0	weighted	w2v	42.2868
폭등	0	weighted	w2v	42.3913
재계	0	weighted	w2v	42.3146
승진	1	weighted	w2v	42.4188
환승	0	weighted	w2v	42.5225
센터	1	weighted	w2v	42.6259
중시	0	weighted	w2v	42.7289
컨디션	0	weighted	w2v	42.8315
투병	0	weighted	w2v	42.7549
직위	0	weighted	w2v	42.6786
본국	0	weighted	w2v	42.6025
책사	0	weighted	w2v	42.5267
해커	0	weighted	w2v	42.6288
암	1	weighted	w2v	42.7305
부안	0	weighted	w2v	42.6549
극도	0	weighted	w2v	42.5795
자율	0	weighted	w2v	42.6808
아픔	0	weighted	w2v	42.6056
부채	0	weighted	w2v	42.7065
출입	0	weighted	w2v	42.807
본명	0	weighted	w2v	42.9072
금액	0	weighted	w2v	42.8322
종단	0	weighted	w2v	42.7574
하드웨어	0	weighted	w2v	42.6829
흉물	0	weighted	w2v	42.7826
단원	0	weighted	w2v	42.8819
재임	0	weighted	w2v	42.8076
고가	1	weighted	w2v	42.7336
조명	1	weighted	w2v	42.6598
괴담	0	weighted	w2v	42.7586
응원	1	weighted	w2v	42.685
소프트웨어	0	weighted	w2v	42.7835
이스라엘	1	weighted	w2v	42.8816
환상	0	weighted	w2v	42.8082
응수	0	weighted	w2v	42.735
분가	0	weighted	w2v	42.6621
학원	1	weighted	w2v	42.7598
심층	0	weighted	w2v	42.6871
부분	0	weighted	w2v	42.7844
퇴장	0	weighted	w2v	42.8814
엿새	0	weighted	w2v	42.8088
만두	0	weighted	w2v	42.7365
트레이너	0	weighted	w2v	42.6644
비거	0	weighted	w2v	42.5926
스코틀랜드	0	weighted	w2v	42.6891
당시	1	weighted	w2v	42.7852
차액	0	weighted	w2v	42.7136
유혹	0	weighted	w2v	42.6421
쿠데타	0	weighted	w2v	42.571
약	1	weighted	w2v	42.6667
선정	1	weighted	w2v	42.7621
독려	0	weighted	w2v	42.8571
가평	0	weighted	w2v	42.7861
일련	0	weighted	w2v	42.7152
질병	0	weighted	w2v	42.8099
추격	0	weighted	w2v	42.9043
수퍼스타	0	weighted	w2v	42.8336
피파	0	weighted	w2v	42.9276
기본	0	weighted	w2v	43.0213
규약	0	weighted	w2v	42.9508
체코	0	weighted	w2v	42.8805
작품	1	weighted	w2v	42.9739
위로	1	weighted	w2v	43.0669
이륙	0	weighted	w2v	42.9967
분야	0	weighted	w2v	42.9268
소환	0	weighted	w2v	43.0195
빈도	0	weighted	w2v	42.9498
임의	0	weighted	w2v	43.0421
잔	1	weighted	w2v	43.1341
협찬	0	weighted	w2v	43.0645
악어	0	weighted	w2v	42.9952
합산	0	weighted	w2v	43.0868
포털	0	weighted	w2v	43.0177
욕망	0	weighted	w2v	43.109
약물	0	weighted	w2v	43.2
대어	0	weighted	w2v	43.131
지	0	weighted	w2v	43.0622
세비	0	weighted	w2v	43.1529
연예	0	weighted	w2v	43.0843
후	1	weighted	w2v	43.0159
잠입	0	weighted	w2v	42.9477
세금	0	weighted	w2v	42.8797
사물	0	weighted	w2v	42.812
중심	1	weighted	w2v	42.7445
갤러리	0	weighted	w2v	42.6772
노병	1	weighted	w2v	42.7673
글씨	0	weighted	w2v	42.7002
우루무치	0	weighted	w2v	42.6332
저자	0	weighted	w2v	42.5665
개비	0	weighted	w2v	42.5
분별	0	weighted	w2v	42.5897
기권	0	weighted	w2v	42.5234
매뉴얼	0	weighted	w2v	42.6128
향배	0	weighted	w2v	42.5466
라디오	0	weighted	w2v	42.6357
소	1	weighted	w2v	42.5697
탈출	0	weighted	w2v	42.5039
군림	0	weighted	w2v	42.4383
엘리트	0	weighted	w2v	42.3729
최고	1	weighted	w2v	42.3077
공판	0	weighted	w2v	42.2427
왕	0	weighted	w2v	42.1779
손	1	weighted	w2v	42.2665
가능	1	weighted	w2v	42.3547
친선	0	weighted	w2v	42.2901
정국	1	weighted	w2v	42.2256
퇴학	0	weighted	w2v	42.1613
고종	1	weighted	w2v	42.2492
기한	1	weighted	w2v	42.3369
호감	0	weighted	w2v	42.2727
당직	0	weighted	w2v	42.3601
학위	0	weighted	w2v	42.4471
원형	0	weighted	w2v	42.3831
근처	0	weighted	w2v	42.4699
폭설	0	weighted	w2v	42.406
감안	1	weighted	w2v	42.4925
현금	1	weighted	w2v	42.5787
빌미	0	weighted	w2v	42.515
사냥	0	weighted	w2v	42.4514
겸손	0	weighted	w2v	42.3881
고기	0	weighted	w2v	42.4739
대물	0	weighted	w2v	42.4107
한량	0	weighted	w2v	42.3477
의문	0	weighted	w2v	42.4332
확률	0	weighted	w2v	42.5185
깨달음	0	weighted	w2v	42.6036
조치	1	weighted	w2v	42.6883
아이돌	0	weighted	w2v	42.6254
혹사	0	weighted	w2v	42.5626
원격	0	weighted	w2v	42.5
안보	0	weighted	w2v	42.4376
삼	0	weighted	w2v	42.3754
시리즈	1	weighted	w2v	42.3133
수심	0	weighted	w2v	42.2515
신원	0	weighted	w2v	42.1898
완성	0	weighted	w2v	42.1283
일반	1	weighted	w2v	42.2125
대치	0	weighted	w2v	42.1512
역무	0	weighted	w2v	42.2351
주자	0	weighted	w2v	42.1739
티켓	0	weighted	w2v	42.1129
양국	1	weighted	w2v	42.1965
보류	0	weighted	w2v	42.2799
의사	1	weighted	w2v	42.3631
신협	0	weighted	w2v	42.3022
사망	1	weighted	w2v	42.3851
잠재	0	weighted	w2v	42.3242
낙찰	0	weighted	w2v	42.2636
공익	0	weighted	w2v	42.3462
심통	0	weighted	w2v	42.2857
단식	1	weighted	w2v	42.368
맥아더	0	weighted	w2v	42.4501
거짓	0	weighted	w2v	42.532
외면	1	weighted	w2v	42.6136
타점	0	weighted	w2v	42.5532
용인	0	weighted	w2v	42.4929
나락	0	weighted	w2v	42.4328
자손	0	weighted	w2v	42.3729
부각	1	weighted	w2v	42.4542
박식	0	weighted	w2v	42.5352
코스타리카	0	weighted	w2v	42.616
후면	0	weighted	w2v	42.6966
페루	0	weighted	w2v	42.777
환자	1	weighted	w2v	42.8571
원료	0	weighted	w2v	42.7972
재력	0	weighted	w2v	42.7374
가족	1	weighted	w2v	42.6778
역량	0	weighted	w2v	42.6184
병행	0	weighted	w2v	42.5591
명기	0	weighted	w2v	42.5
영역	0	weighted	w2v	42.4411
변	1	weighted	w2v	42.5208
연관	1	weighted	w2v	42.462
외화	0	weighted	w2v	42.4033
운영	1	weighted	w2v	42.3448
지디피	0	weighted	w2v	42.2865
인턴십	0	weighted	w2v	42.2283
작동	0	weighted	w2v	42.1703
부결	0	weighted	w2v	42.1125
정의	1	weighted	w2v	42.1918
착용	0	weighted	w2v	42.1341
소서	0	weighted	w2v	42.0765
괴리	0	weighted	w2v	42.0191
유독	0	weighted	w2v	41.9619
순서	1	weighted	w2v	42.0408
봉직	0	weighted	w2v	42.1196
경인	0	weighted	w2v	42.1981
수방	0	weighted	w2v	42.2764
기	1	weighted	w2v	42.2192
점포	0	weighted	w2v	42.1622
일치	0	weighted	w2v	42.1053
락까	0	weighted	w2v	42.0485
입안	0	weighted	w2v	41.9919
신중	0	weighted	w2v	42.0699
의거	0	weighted	w2v	42.0134
라운드	0	weighted	w2v	41.9571
꼴찌	0	weighted	w2v	42.0348
상당	0	weighted	w2v	41.9786
리스트	0	weighted	w2v	41.9226
계급	0	weighted	w2v	41.8667
근절	1	weighted	w2v	41.8109
부위	1	weighted	w2v	41.7553
중반	0	weighted	w2v	41.8327
구단	1	weighted	w2v	41.9098
변모	1	weighted	w2v	41.8543
자국	1	weighted	w2v	41.9312
항소	1	weighted	w2v	42.0079
병원	1	weighted	w2v	42.0844
유임	0	weighted	w2v	42.029
중층	0	weighted	w2v	42.1053
공부	1	weighted	w2v	42.1813
사옥	1	weighted	w2v	42.2572
거론	0	weighted	w2v	42.3329
불행	1	weighted	w2v	42.4084
이유	1	weighted	w2v	42.3529
쿤밍	0	weighted	w2v	42.4282
